Device,Group,Module,Name,ID,Brunner_Name,,Scale,Alternate_ID,Annotations,Certainty,State Class,Device Class,Postcall
BHZ3,Status,Zusatzheizung,Unknown156,0x1c114018,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown157,0x1c114019,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown158,0x1c11401a,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown159,0x1c114030,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown160,0x1c114031,,,,,,,measurement,,
BHZ3,Status,Zusatzheizung,Unknown161,0x1c114032,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown162,0x1c114400,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown163,0x1c114404,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown164,0x1c114405,,,,,,,measurement,,
BHZ3,Leistung,HK1,,0x1c114406,,W,100,,,,measurement,POWER,
BHZ3,Status,HK1,Unknown165,0x1c114407,,,,,,,measurement,,
BHZ3,Gesamtleistung,HK1,Heute,0x1c114409,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,HK1,Gestern,0x1c11440a,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,HK1,5 Tage ohne Heute,0x1c11440b,,kWh,0.1,,,,total_increasing,ENERGY,
BHZ3,Gesamtleistung,HK1,Letzte 4 Wochen ohne Heute,0x1c11440c,,kWh,1,,,,total_increasing,ENERGY,
BHZ3,Status,HK1,Unknown166,0x1c11440d,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown167,0x1c11440e,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown168,0x1c114415,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown169,0x1c114416,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown170,0x1c114417,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown171,0x1c114418,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown172,0x1c114419,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown173,0x1c11441a,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown174,0x1c114430,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown175,0x1c114431,,,,,,,measurement,,
BHZ3,Status,HK1,Unknown176,0x1c114432,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown177,0x1c114800,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown178,0x1c114804,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown179,0x1c114805,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown180,0x1c114815,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown181,0x1c114816,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown182,0x1c114817,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown183,0x1c114818,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown184,0x1c114819,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown185,0x1c11481a,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown186,0x1c114830,,,,,,,measurement,,
BHZ3,Status,HK2,Unknown187,0x1c114831,,,,,,,measurement,,
